National №,Name,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,img_url,Generation
479,Rotom,Electric Ghost,Plasma Pokémon,0.3,"1,00",0.3,0.7,1. Levitate,152 (Platinum)068 (X/Y — Mountain Kalos)372 (Sword/Shield)194 (Legends: Arceus),"1 Special Attack, 1 Speed",45.0,"5.9% with PokéBall, full HP",50.0,normal,154.0,Medium Fast,Amorphous,Genderless,,20.0,"4,884–5,140 steps",50.0,210.0,304.0,50.0,94.0,218.0,77.0,143.0,278.0,95.0,175.0,317.0,77.0,143.0,278.0,91.0,168.0,309.0,https://img.pokemondb.net/artwork/rotom.jpg,4.0
480,Uxie,Psychic,Knowledge Pokémon,0.3,"1,00",0.3,0.7,1. Levitate,146 (Diamond/Pearl)146 (Platinum)146 (Brilliant Diamond/Shining Pearl)225 (Legends: Arceus),"2 Defense, 1 Special Defense",3.0,"0.4% with PokéBall, full HP",140.0,higher than normal,261.0,Slow,Undiscovered,Genderless,,80.0,"20,304–20,560 steps",75.0,260.0,354.0,75.0,139.0,273.0,130.0,238.0,394.0,75.0,139.0,273.0,130.0,238.0,394.0,95.0,175.0,317.0,https://img.pokemondb.net/artwork/uxie.jpg,4.0
481,Mesprit,Psychic,Emotion Pokémon,0.3,"1,00",0.3,0.7,1. Levitate,147 (Diamond/Pearl)147 (Platinum)147 (Brilliant Diamond/Shining Pearl)226 (Legends: Arceus),"1 Attack, 1 Special Attack, 1 Special Defense",3.0,"0.4% with PokéBall, full HP",140.0,higher than normal,261.0,Slow,Undiscovered,Genderless,,80.0,"20,304–20,560 steps",80.0,270.0,364.0,105.0,193.0,339.0,105.0,193.0,339.0,105.0,193.0,339.0,105.0,193.0,339.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/mesprit.jpg,4.0
482,Azelf,Psychic,Willpower Pokémon,0.3,"1,00",0.3,0.7,1. Levitate,148 (Diamond/Pearl)148 (Platinum)148 (Brilliant Diamond/Shining Pearl)227 (Legends: Arceus),"2 Attack, 1 Special Attack",3.0,"0.4% with PokéBall, full HP",140.0,higher than normal,261.0,Slow,Undiscovered,Genderless,,80.0,"20,304–20,560 steps",75.0,260.0,354.0,125.0,229.0,383.0,70.0,130.0,262.0,125.0,229.0,383.0,70.0,130.0,262.0,115.0,211.0,361.0,https://img.pokemondb.net/artwork/azelf.jpg,4.0
483,Dialga,Steel Dragon,Temporal Pokémon,5.4,"17,09",683.0,1505.8,1. PressureTelepathy (hidden ability),149 (Diamond/Pearl)149 (Platinum)149 (Brilliant Diamond/Shining Pearl)235 (Legends: Arceus),3 Special Attack,3.0,"0.4% with PokéBall, full HP",0.0,lower than normal,306.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",100.0,310.0,404.0,120.0,220.0,372.0,120.0,220.0,372.0,150.0,274.0,438.0,100.0,184.0,328.0,90.0,166.0,306.0,https://img.pokemondb.net/artwork/dialga.jpg,4.0
484,Palkia,Water Dragon,Spatial Pokémon,4.2,"13,09",336.0,740.8,1. PressureTelepathy (hidden ability),150 (Diamond/Pearl)150 (Platinum)150 (Brilliant Diamond/Shining Pearl)236 (Legends: Arceus),3 Special Attack,3.0,"0.4% with PokéBall, full HP",0.0,lower than normal,306.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",90.0,290.0,384.0,120.0,220.0,372.0,100.0,184.0,328.0,150.0,274.0,438.0,120.0,220.0,372.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/palkia.jpg,4.0
485,Heatran,Fire Steel,Lava Dome Pokémon,1.7,"5,07",430.0,948.0,1. Flash FireFlame Body (hidden ability),228 (Legends: Arceus),3 Special Attack,3.0,"0.4% with PokéBall, full HP",100.0,higher than normal,270.0,Slow,Undiscovered,50,50.0,10.0,"2,314–2,570 steps",91.0,292.0,386.0,90.0,166.0,306.0,106.0,195.0,342.0,130.0,238.0,394.0,106.0,195.0,342.0,77.0,143.0,278.0,https://img.pokemondb.net/artwork/heatran.jpg,4.0
486,Regigigas,Normal,Colossal Pokémon,3.7,"12,02",420.0,925.9,1. Slow Start,229 (Legends: Arceus),3 Attack,3.0,"0.4% with PokéBall, full HP",0.0,lower than normal,302.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",110.0,330.0,424.0,160.0,292.0,460.0,110.0,202.0,350.0,80.0,148.0,284.0,110.0,202.0,350.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/regigigas.jpg,4.0
487,Giratina,Ghost Dragon,Renegade Pokémon,4.5,"14,09",750.0,1653.5,1. PressureTelepathy (hidden ability),210 (Platinum)237 (Legends: Arceus),3 HP,3.0,"0.4% with PokéBall, full HP",0.0,lower than normal,306.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",150.0,410.0,504.0,100.0,184.0,328.0,120.0,220.0,372.0,100.0,184.0,328.0,120.0,220.0,372.0,90.0,166.0,306.0,https://img.pokemondb.net/artwork/giratina-altered.jpg,4.0
488,Cresselia,Psychic,Lunar Pokémon,1.5,"4,11",85.6,188.7,1. Levitate,230 (Legends: Arceus),3 Special Defense,3.0,"0.4% with PokéBall, full HP",100.0,higher than normal,270.0,Slow,Undiscovered,0,100.0,120.0,"30,584–30,840 steps",120.0,350.0,444.0,70.0,130.0,262.0,120.0,220.0,372.0,75.0,139.0,273.0,130.0,238.0,394.0,85.0,157.0,295.0,https://img.pokemondb.net/artwork/cresselia.jpg,4.0
489,Phione,Water,Sea Drifter Pokémon,0.4,"1,04",3.1,6.8,1. Hydration,239 (Legends: Arceus),1 HP,30.0,"3.9% with PokéBall, full HP",50.0,normal,216.0,Slow,"Fairy, Water 1",Genderless,,40.0,"10,024–10,280 steps",80.0,270.0,364.0,80.0,148.0,284.0,80.0,148.0,284.0,80.0,148.0,284.0,80.0,148.0,284.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/phione.jpg,4.0
490,Manaphy,Water,Seafaring Pokémon,0.3,"1,00",1.4,3.1,1. Hydration,151 (Diamond/Pearl)151 (Platinum)151 (Brilliant Diamond/Shining Pearl)240 (Legends: Arceus),3 HP,3.0,"0.4% with PokéBall, full HP",50.0,normal,270.0,Slow,"Fairy, Water 1",Genderless,,10.0,"2,314–2,570 steps",100.0,310.0,404.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/manaphy.jpg,4.0
491,Darkrai,Dark,Pitch-Black Pokémon,1.5,"4,11",50.5,111.3,1. Bad Dreams,242 (Legends: Arceus),"2 Special Attack, 1 Speed",3.0,"0.4% with PokéBall, full HP",0.0,lower than normal,270.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",70.0,250.0,344.0,90.0,166.0,306.0,90.0,166.0,306.0,135.0,247.0,405.0,90.0,166.0,306.0,125.0,229.0,383.0,https://img.pokemondb.net/artwork/darkrai.jpg,4.0
492,Shaymin,Grass,Gratitude Pokémon,0.2,"0,08",2.1,4.6,1. Natural Cure,241 (Legends: Arceus),3 HP,45.0,"5.9% with PokéBall, full HP",100.0,higher than normal,270.0,Medium Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",100.0,310.0,404.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/shaymin-land.jpg,4.0
493,Arceus,Normal,Alpha Pokémon,3.2,"10,06",320.0,705.5,1. Multitype,238 (Legends: Arceus),3 HP,3.0,"0.4% with PokéBall, full HP",0.0,lower than normal,324.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",120.0,350.0,444.0,120.0,220.0,372.0,120.0,220.0,372.0,120.0,220.0,372.0,120.0,220.0,372.0,120.0,220.0,372.0,https://img.pokemondb.net/artwork/arceus.jpg,4.0
494,Victini,Psychic Fire,Victory Pokémon,0.4,"1,04",4.0,8.8,1. Victory Star,000 (Black/White)000 (Black 2/White 2),3 HP,3.0,"0.4% with PokéBall, full HP",100.0,higher than normal,270.0,Slow,Undiscovered,Genderless,,120.0,"30,584–30,840 steps",100.0,310.0,404.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/victini.jpg,5.0
495,Snivy,Grass,Grass Snake Pokémon,0.6,"2,00",8.1,17.9,1. OvergrowContrary (hidden ability),001 (Black/White)001 (Black 2/White 2),1 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,62.0,Medium Slow,"Field, Grass",87.5,12.5,20.0,"4,884–5,140 steps",45.0,200.0,294.0,45.0,85.0,207.0,55.0,103.0,229.0,45.0,85.0,207.0,55.0,103.0,229.0,63.0,117.0,247.0,https://img.pokemondb.net/artwork/snivy.jpg,5.0
496,Servine,Grass,Grass Snake Pokémon,0.8,"2,07",16.0,35.3,1. OvergrowContrary (hidden ability),002 (Black/White)002 (Black 2/White 2),2 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,145.0,Medium Slow,"Field, Grass",87.5,12.5,20.0,"4,884–5,140 steps",60.0,230.0,324.0,60.0,112.0,240.0,75.0,139.0,273.0,60.0,112.0,240.0,75.0,139.0,273.0,83.0,153.0,291.0,https://img.pokemondb.net/artwork/servine.jpg,5.0
497,Serperior,Grass,Regal Pokémon,3.3,"10,10",63.0,138.9,1. OvergrowContrary (hidden ability),003 (Black/White)003 (Black 2/White 2),3 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,238.0,Medium Slow,"Field, Grass",87.5,12.5,20.0,"4,884–5,140 steps",75.0,260.0,354.0,75.0,139.0,273.0,95.0,175.0,317.0,75.0,139.0,273.0,95.0,175.0,317.0,113.0,207.0,357.0,https://img.pokemondb.net/artwork/serperior.jpg,5.0
498,Tepig,Fire,Fire Pig Pokémon,0.5,"1,08",9.9,21.8,1. BlazeThick Fat (hidden ability),004 (Black/White)004 (Black 2/White 2),1 HP,45.0,"5.9% with PokéBall, full HP",50.0,normal,62.0,Medium Slow,Field,87.5,12.5,20.0,"4,884–5,140 steps",65.0,240.0,334.0,63.0,117.0,247.0,45.0,85.0,207.0,45.0,85.0,207.0,45.0,85.0,207.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/tepig.jpg,5.0
499,Pignite,Fire Fighting,Fire Pig Pokémon,1.0,"3,03",55.5,122.4,1. BlazeThick Fat (hidden ability),005 (Black/White)005 (Black 2/White 2),2 Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,146.0,Medium Slow,Field,87.5,12.5,20.0,"4,884–5,140 steps",90.0,290.0,384.0,93.0,171.0,313.0,55.0,103.0,229.0,70.0,130.0,262.0,55.0,103.0,229.0,55.0,103.0,229.0,https://img.pokemondb.net/artwork/pignite.jpg,5.0
500,Emboar,Fire Fighting,Mega Fire Pig Pokémon,1.6,"5,03",150.0,330.7,1. BlazeReckless (hidden ability),006 (Black/White)006 (Black 2/White 2),3 Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,238.0,Medium Slow,Field,87.5,12.5,20.0,"4,884–5,140 steps",110.0,330.0,424.0,123.0,225.0,379.0,65.0,121.0,251.0,100.0,184.0,328.0,65.0,121.0,251.0,65.0,121.0,251.0,https://img.pokemondb.net/artwork/emboar.jpg,5.0
501,Oshawott,Water,Sea Otter Pokémon,0.5,"1,08",5.9,13.0,1. TorrentShell Armor (hidden ability),007 (Black/White)007 (Black 2/White 2)007 (Legends: Arceus),1 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,62.0,Medium Slow,Field,87.5,12.5,20.0,"4,884–5,140 steps",55.0,220.0,314.0,55.0,103.0,229.0,45.0,85.0,207.0,63.0,117.0,247.0,45.0,85.0,207.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/oshawott.jpg,5.0
502,Dewott,Water,Discipline Pokémon,0.8,"2,07",24.5,54.0,1. TorrentShell Armor (hidden ability),008 (Black/White)008 (Black 2/White 2)008 (Legends: Arceus),2 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,145.0,Medium Slow,Field,87.5,12.5,20.0,"4,884–5,140 steps",75.0,260.0,354.0,75.0,139.0,273.0,60.0,112.0,240.0,83.0,153.0,291.0,60.0,112.0,240.0,60.0,112.0,240.0,https://img.pokemondb.net/artwork/dewott.jpg,5.0
503,Samurott,Water,Formidable Pokémon,1.5,"4,11",94.6,208.6,1. TorrentShell Armor (hidden ability),009 (Black/White)009 (Black 2/White 2)009 (Legends: Arceus),3 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,238.0,Medium Slow,Field,87.5,12.5,20.0,"4,884–5,140 steps",95.0,300.0,394.0,100.0,184.0,328.0,85.0,157.0,295.0,108.0,198.0,346.0,70.0,130.0,262.0,70.0,130.0,262.0,https://img.pokemondb.net/artwork/samurott.jpg,5.0
504,Patrat,Normal,Scout Pokémon,0.5,"1,08",11.6,25.6,1. Run Away2. Keen EyeAnalytic (hidden ability),010 (Black/White)010 (Black 2/White 2)046 (X/Y — Mountain Kalos),1 Attack,255.0,"33.3% with PokéBall, full HP",50.0,normal,51.0,Medium Fast,Field,50,50.0,15.0,"3,599–3,855 steps",45.0,200.0,294.0,55.0,103.0,229.0,39.0,74.0,194.0,35.0,67.0,185.0,39.0,74.0,194.0,42.0,80.0,201.0,https://img.pokemondb.net/artwork/patrat.jpg,5.0
505,Watchog,Normal,Lookout Pokémon,1.1,"3,07",27.0,59.5,1. Illuminate2. Keen EyeAnalytic (hidden ability),011 (Black/White)011 (Black 2/White 2)047 (X/Y — Mountain Kalos),2 Attack,255.0,"33.3% with PokéBall, full HP",50.0,normal,147.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",60.0,230.0,324.0,85.0,157.0,295.0,69.0,128.0,260.0,60.0,112.0,240.0,69.0,128.0,260.0,77.0,143.0,278.0,https://img.pokemondb.net/artwork/watchog.jpg,5.0
506,Lillipup,Normal,Puppy Pokémon,0.4,"1,04",4.1,9.0,1. Vital Spirit2. PickupRun Away (hidden ability),012 (Black/White)022 (Black 2/White 2)120 (Sun/Moon — Alola dex)150 (U.Sun/U.Moon — Alola dex)113 (The Isle of Armor),1 Attack,255.0,"33.3% with PokéBall, full HP",50.0,normal,55.0,Medium Slow,Field,50,50.0,15.0,"3,599–3,855 steps",45.0,200.0,294.0,60.0,112.0,240.0,45.0,85.0,207.0,25.0,49.0,163.0,45.0,85.0,207.0,55.0,103.0,229.0,https://img.pokemondb.net/artwork/lillipup.jpg,5.0
507,Herdier,Normal,Loyal Dog Pokémon,0.9,"2,11",14.7,32.4,1. Intimidate2. Sand RushScrappy (hidden ability),013 (Black/White)023 (Black 2/White 2)121 (Sun/Moon — Alola dex)151 (U.Sun/U.Moon — Alola dex)114 (The Isle of Armor),2 Attack,120.0,"15.7% with PokéBall, full HP",50.0,normal,130.0,Medium Slow,Field,50,50.0,15.0,"3,599–3,855 steps",65.0,240.0,334.0,80.0,148.0,284.0,65.0,121.0,251.0,35.0,67.0,185.0,65.0,121.0,251.0,60.0,112.0,240.0,https://img.pokemondb.net/artwork/herdier.jpg,5.0
508,Stoutland,Normal,Big-Hearted Pokémon,1.2,"3,11",61.0,134.5,1. Intimidate2. Sand RushScrappy (hidden ability),014 (Black/White)024 (Black 2/White 2)122 (Sun/Moon — Alola dex)152 (U.Sun/U.Moon — Alola dex)115 (The Isle of Armor),3 Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,225.0,Medium Slow,Field,50,50.0,15.0,"3,599–3,855 steps",85.0,280.0,374.0,110.0,202.0,350.0,90.0,166.0,306.0,45.0,85.0,207.0,90.0,166.0,306.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/stoutland.jpg,5.0
509,Purrloin,Dark,Devious Pokémon,0.4,"1,04",10.1,22.3,1. Limber2. UnburdenPrankster (hidden ability),015 (Black/White)012 (Black 2/White 2)042 (X/Y — Mountain Kalos)044 (Sword/Shield),1 Speed,255.0,"33.3% with PokéBall, full HP",50.0,normal,56.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",41.0,192.0,286.0,50.0,94.0,218.0,37.0,71.0,190.0,50.0,94.0,218.0,37.0,71.0,190.0,66.0,123.0,254.0,https://img.pokemondb.net/artwork/purrloin.jpg,5.0
510,Liepard,Dark,Cruel Pokémon,1.1,"3,07",37.5,82.7,1. Limber2. UnburdenPrankster (hidden ability),016 (Black/White)013 (Black 2/White 2)043 (X/Y — Mountain Kalos)045 (Sword/Shield),2 Speed,90.0,"11.8% with PokéBall, full HP",50.0,normal,156.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",64.0,238.0,332.0,88.0,162.0,302.0,50.0,94.0,218.0,88.0,162.0,302.0,50.0,94.0,218.0,106.0,195.0,342.0,https://img.pokemondb.net/artwork/liepard.jpg,5.0
511,Pansage,Grass,Grass Monkey Pokémon,0.6,"2,00",10.5,23.1,1. GluttonyOvergrow (hidden ability),017 (Black/White)037 (Black 2/White 2)029 (X/Y — Central Kalos),1 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,63.0,Medium Fast,Field,87.5,12.5,20.0,"4,884–5,140 steps",50.0,210.0,304.0,53.0,99.0,225.0,48.0,90.0,214.0,53.0,99.0,225.0,48.0,90.0,214.0,64.0,119.0,249.0,https://img.pokemondb.net/artwork/pansage.jpg,5.0
512,Simisage,Grass,Thorn Monkey Pokémon,1.1,"3,07",30.5,67.2,1. GluttonyOvergrow (hidden ability),018 (Black/White)038 (Black 2/White 2)030 (X/Y — Central Kalos),2 Speed,75.0,"9.8% with PokéBall, full HP",50.0,normal,174.0,Medium Fast,Field,87.5,12.5,20.0,"4,884–5,140 steps",75.0,260.0,354.0,98.0,180.0,324.0,63.0,117.0,247.0,98.0,180.0,324.0,63.0,117.0,247.0,101.0,186.0,331.0,https://img.pokemondb.net/artwork/simisage.jpg,5.0
513,Pansear,Fire,High Temp Pokémon,0.6,"2,00",11.0,24.3,1. GluttonyBlaze (hidden ability),019 (Black/White)039 (Black 2/White 2)031 (X/Y — Central Kalos),1 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,63.0,Medium Fast,Field,87.5,12.5,20.0,"4,884–5,140 steps",50.0,210.0,304.0,53.0,99.0,225.0,48.0,90.0,214.0,53.0,99.0,225.0,48.0,90.0,214.0,64.0,119.0,249.0,https://img.pokemondb.net/artwork/pansear.jpg,5.0
514,Simisear,Fire,Ember Pokémon,1.0,"3,03",28.0,61.7,1. GluttonyBlaze (hidden ability),020 (Black/White)040 (Black 2/White 2)032 (X/Y — Central Kalos),2 Speed,75.0,"9.8% with PokéBall, full HP",50.0,normal,174.0,Medium Fast,Field,87.5,12.5,20.0,"4,884–5,140 steps",75.0,260.0,354.0,98.0,180.0,324.0,63.0,117.0,247.0,98.0,180.0,324.0,63.0,117.0,247.0,101.0,186.0,331.0,https://img.pokemondb.net/artwork/simisear.jpg,5.0
515,Panpour,Water,Spray Pokémon,0.6,"2,00",13.5,29.8,1. GluttonyTorrent (hidden ability),021 (Black/White)041 (Black 2/White 2)033 (X/Y — Central Kalos),1 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,63.0,Medium Fast,Field,87.5,12.5,20.0,"4,884–5,140 steps",50.0,210.0,304.0,53.0,99.0,225.0,48.0,90.0,214.0,53.0,99.0,225.0,48.0,90.0,214.0,64.0,119.0,249.0,https://img.pokemondb.net/artwork/panpour.jpg,5.0
516,Simipour,Water,Geyser Pokémon,1.0,"3,03",29.0,63.9,1. GluttonyTorrent (hidden ability),022 (Black/White)042 (Black 2/White 2)034 (X/Y — Central Kalos),2 Speed,75.0,"9.8% with PokéBall, full HP",50.0,normal,174.0,Medium Fast,Field,87.5,12.5,20.0,"4,884–5,140 steps",75.0,260.0,354.0,98.0,180.0,324.0,63.0,117.0,247.0,98.0,180.0,324.0,63.0,117.0,247.0,101.0,186.0,331.0,https://img.pokemondb.net/artwork/simipour.jpg,5.0
517,Munna,Psychic,Dream Eater Pokémon,0.6,"2,00",23.3,51.4,1. Forewarn2. SynchronizeTelepathy (hidden ability),023 (Black/White)086 (Black 2/White 2)090 (Sword/Shield),1 HP,190.0,"24.8% with PokéBall, full HP",50.0,normal,58.0,Fast,Field,50,50.0,10.0,"2,314–2,570 steps",76.0,262.0,356.0,25.0,49.0,163.0,45.0,85.0,207.0,67.0,125.0,256.0,55.0,103.0,229.0,24.0,47.0,161.0,https://img.pokemondb.net/artwork/munna.jpg,5.0
518,Musharna,Psychic,Drowsing Pokémon,1.1,"3,07",60.5,133.4,1. Forewarn2. SynchronizeTelepathy (hidden ability),024 (Black/White)087 (Black 2/White 2)091 (Sword/Shield),2 HP,75.0,"9.8% with PokéBall, full HP",50.0,normal,170.0,Fast,Field,50,50.0,10.0,"2,314–2,570 steps",116.0,342.0,436.0,55.0,103.0,229.0,85.0,157.0,295.0,107.0,197.0,344.0,95.0,175.0,317.0,29.0,56.0,172.0,https://img.pokemondb.net/artwork/musharna.jpg,5.0
519,Pidove,Normal Flying,Tiny Pigeon Pokémon,0.3,"1,00",2.1,4.6,1. Big Pecks2. Super LuckRivalry (hidden ability),025 (Black/White)014 (Black 2/White 2)026 (Sword/Shield),1 Attack,255.0,"33.3% with PokéBall, full HP",50.0,normal,53.0,Medium Slow,Flying,50,50.0,15.0,"3,599–3,855 steps",50.0,210.0,304.0,55.0,103.0,229.0,50.0,94.0,218.0,36.0,69.0,188.0,30.0,58.0,174.0,43.0,81.0,203.0,https://img.pokemondb.net/artwork/pidove.jpg,5.0
520,Tranquill,Normal Flying,Wild Pigeon Pokémon,0.6,"2,00",15.0,33.1,1. Big Pecks2. Super LuckRivalry (hidden ability),026 (Black/White)015 (Black 2/White 2)027 (Sword/Shield),2 Attack,120.0,"15.7% with PokéBall, full HP",50.0,normal,125.0,Medium Slow,Flying,50,50.0,15.0,"3,599–3,855 steps",62.0,234.0,328.0,77.0,143.0,278.0,62.0,116.0,245.0,50.0,94.0,218.0,42.0,80.0,201.0,65.0,121.0,251.0,https://img.pokemondb.net/artwork/tranquill.jpg,5.0
521,Unfezant,Normal Flying,Proud Pokémon,1.2,"3,11",29.0,63.9,1. Big Pecks2. Super LuckRivalry (hidden ability),027 (Black/White)016 (Black 2/White 2)028 (Sword/Shield),3 Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,220.0,Medium Slow,Flying,50,50.0,15.0,"3,599–3,855 steps",80.0,270.0,364.0,115.0,211.0,361.0,80.0,148.0,284.0,65.0,121.0,251.0,55.0,103.0,229.0,93.0,171.0,313.0,https://img.pokemondb.net/artwork/unfezant.jpg,5.0
522,Blitzle,Electric,Electrified Pokémon,0.8,"2,07",29.8,65.7,1. Lightning Rod2. Motor DriveSap Sipper (hidden ability),028 (Black/White)147 (Black 2/White 2),1 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,59.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",45.0,200.0,294.0,60.0,112.0,240.0,32.0,62.0,179.0,50.0,94.0,218.0,32.0,62.0,179.0,76.0,141.0,276.0,https://img.pokemondb.net/artwork/blitzle.jpg,5.0
523,Zebstrika,Electric,Thunderbolt Pokémon,1.6,"5,03",79.5,175.3,1. Lightning Rod2. Motor DriveSap Sipper (hidden ability),029 (Black/White)148 (Black 2/White 2),2 Speed,75.0,"9.8% with PokéBall, full HP",50.0,normal,174.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",75.0,260.0,354.0,100.0,184.0,328.0,63.0,117.0,247.0,80.0,148.0,284.0,63.0,117.0,247.0,116.0,213.0,364.0,https://img.pokemondb.net/artwork/zebstrika.jpg,5.0
524,Roggenrola,Rock,Mantle Pokémon,0.4,"1,04",18.0,39.7,1. Sturdy2. Weak ArmorSand Force (hidden ability),030 (Black/White)068 (Black 2/White 2)120 (X/Y — Coastal Kalos)098 (Sun/Moon — Alola dex)120 (U.Sun/U.Moon — Alola dex)168 (Sword/Shield)154 (The Isle of Armor),1 Defense,255.0,"33.3% with PokéBall, full HP",50.0,normal,56.0,Medium Slow,Mineral,50,50.0,15.0,"3,599–3,855 steps",55.0,220.0,314.0,75.0,139.0,273.0,85.0,157.0,295.0,25.0,49.0,163.0,25.0,49.0,163.0,15.0,31.0,141.0,https://img.pokemondb.net/artwork/roggenrola.jpg,5.0
525,Boldore,Rock,Ore Pokémon,0.9,"2,11",102.0,224.9,1. Sturdy2. Weak ArmorSand Force (hidden ability),031 (Black/White)069 (Black 2/White 2)121 (X/Y — Coastal Kalos)099 (Sun/Moon — Alola dex)121 (U.Sun/U.Moon — Alola dex)169 (Sword/Shield)155 (The Isle of Armor),"1 Attack, 1 Defense",120.0,"15.7% with PokéBall, full HP",50.0,normal,137.0,Medium Slow,Mineral,50,50.0,15.0,"3,599–3,855 steps",70.0,250.0,344.0,105.0,193.0,339.0,105.0,193.0,339.0,50.0,94.0,218.0,40.0,76.0,196.0,20.0,40.0,152.0,https://img.pokemondb.net/artwork/boldore.jpg,5.0
526,Gigalith,Rock,Compressed Pokémon,1.7,"5,07",260.0,573.2,1. Sturdy2. Sand StreamSand Force (hidden ability),032 (Black/White)070 (Black 2/White 2)122 (X/Y — Coastal Kalos)100 (Sun/Moon — Alola dex)122 (U.Sun/U.Moon — Alola dex)170 (Sword/Shield)156 (The Isle of Armor),3 Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,232.0,Medium Slow,Mineral,50,50.0,15.0,"3,599–3,855 steps",85.0,280.0,374.0,135.0,247.0,405.0,130.0,238.0,394.0,60.0,112.0,240.0,80.0,148.0,284.0,25.0,49.0,163.0,https://img.pokemondb.net/artwork/gigalith.jpg,5.0
527,Woobat,Psychic Flying,Bat Pokémon,0.4,"1,04",2.1,4.6,1. Unaware2. KlutzSimple (hidden ability),033 (Black/White)066 (Black 2/White 2)055 (X/Y — Coastal Kalos)174 (Sword/Shield)151 (The Isle of Armor),1 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,65.0,Medium Fast,"Field, Flying",50,50.0,15.0,"3,599–3,855 steps",65.0,240.0,334.0,45.0,85.0,207.0,43.0,81.0,203.0,55.0,103.0,229.0,43.0,81.0,203.0,72.0,134.0,267.0,https://img.pokemondb.net/artwork/woobat.jpg,5.0
528,Swoobat,Psychic Flying,Courting Pokémon,0.9,"2,11",10.5,23.1,1. Unaware2. KlutzSimple (hidden ability),034 (Black/White)067 (Black 2/White 2)056 (X/Y — Coastal Kalos)175 (Sword/Shield)152 (The Isle of Armor),2 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,149.0,Medium Fast,"Field, Flying",50,50.0,15.0,"3,599–3,855 steps",67.0,244.0,338.0,57.0,107.0,234.0,55.0,103.0,229.0,77.0,143.0,278.0,55.0,103.0,229.0,114.0,209.0,359.0,https://img.pokemondb.net/artwork/swoobat.jpg,5.0
