,National №,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,Name,img_url,Generation
352,353,Ghost,Puppet,0.6,2.00,2.3,5.1,1. Insomnia2. FriskCursed Body (hidden ability),146 (Ruby/Sapphire/Emerald)210 (Black 2/White 2)122 (X/Y — Mountain Kalos)151 (Omega Ruby/Alpha Sapphire)316 (U.Sun/U.Moon — Alola dex),1 Attack,225,"29.4% with PokéBall, full HP",35,lower than normal,59,Fast,Amorphous,50,50,25,"6,169–6,425 steps",44,198,292,75,139,273,35,67,185,63,117,247,33,63,181,45,85,207,Shuppet,https://img.pokemondb.net/artwork/shuppet.jpg,
353,354,Ghost,Marionette,1.1,3.07,12.5,27.6,1. Insomnia2. FriskCursed Body (hidden ability),147 (Ruby/Sapphire/Emerald)211 (Black 2/White 2)123 (X/Y — Mountain Kalos)152 (Omega Ruby/Alpha Sapphire)317 (U.Sun/U.Moon — Alola dex),2 Attack,45,"5.9% with PokéBall, full HP",35,lower than normal,159,Fast,Amorphous,50,50,25,"6,169–6,425 steps",64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,Banette,https://img.pokemondb.net/artwork/banette.jpg,
354,355,Ghost,Requiem,0.8,2.07,15.0,33.1,1. LevitateFrisk (hidden ability),148 (Ruby/Sapphire/Emerald)189 (Platinum)153 (Omega Ruby/Alpha Sapphire)135 (Sword/Shield)158 (Legends: Arceus),1 Special Defense,190,"24.8% with PokéBall, full HP",35,lower than normal,59,Fast,Amorphous,50,50,25,"6,169–6,425 steps",20,150,244,40,76,196,90,166,306,30,58,174,90,166,306,25,49,163,Duskull,https://img.pokemondb.net/artwork/duskull.jpg,
355,356,Ghost,Beckon,1.6,5.03,30.6,67.5,1. PressureFrisk (hidden ability),149 (Ruby/Sapphire/Emerald)190 (Platinum)154 (Omega Ruby/Alpha Sapphire)136 (Sword/Shield)159 (Legends: Arceus),"1 Defense, 1 Special Defense",90,"11.8% with PokéBall, full HP",35,lower than normal,159,Fast,Amorphous,50,50,25,"6,169–6,425 steps",40,190,284,70,130,262,130,238,394,60,112,240,130,238,394,25,49,163,Dusclops,https://img.pokemondb.net/artwork/dusclops.jpg,
356,357,Grass Flying,Fruit,2.0,6.07,100.0,220.5,1. Chlorophyll2. Solar PowerHarvest (hidden ability),150 (Ruby/Sapphire/Emerald)185 (Platinum)288 (Black 2/White 2)156 (Omega Ruby/Alpha Sapphire)354 (U.Sun/U.Moon — Alola dex),2 HP,200,"26.1% with PokéBall, full HP",50,normal,161,Slow,"Grass, Monster",50,50,25,"6,169–6,425 steps",99,308,402,68,126,258,83,153,291,72,134,267,87,161,300,51,96,221,Tropius,https://img.pokemondb.net/artwork/tropius.jpg,
357,358,Psychic,Wind Chime,0.6,2.00,1.0,2.2,1. Levitate,151 (Ruby/Sapphire/Emerald)083 (Diamond/Pearl)083 (Platinum)112 (X/Y — Coastal Kalos)158 (Omega Ruby/Alpha Sapphire)083 (Brilliant Diamond/Shining Pearl)196 (Legends: Arceus),"1 Special Attack, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,159,Fast,Amorphous,50,50,25,"6,169–6,425 steps",75,260,354,50,94,218,80,148,284,95,175,317,90,166,306,65,121,251,Chimecho,https://img.pokemondb.net/artwork/chimecho.jpg,
358,359,Dark,Disaster,1.2,3.11,47.0,103.6,1. Pressure2. Super LuckJustified (hidden ability),152 (Ruby/Sapphire/Emerald)209 (Platinum)216 (Black 2/White 2)009 (X/Y — Coastal Kalos)159 (Omega Ruby/Alpha Sapphire)245 (Sun/Moon — Alola dex)322 (U.Sun/U.Moon — Alola dex)107 (The Crown Tundra),2 Attack,30,"3.9% with PokéBall, full HP",35,lower than normal,163,Medium Slow,Field,50,50,25,"6,169–6,425 steps",65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273,Absol,https://img.pokemondb.net/artwork/absol.jpg,
359,360,Psychic,Bright,0.6,2.00,14.0,30.9,1. Shadow TagTelepathy (hidden ability),160 (Ruby/Sapphire/Emerald)118 (X/Y — Coastal Kalos)167 (Omega Ruby/Alpha Sapphire)216 (Sword/Shield),1 HP,125,"16.3% with PokéBall, full HP",50,normal,52,Medium Fast,Undiscovered,50,50,20,"4,884–5,140 steps",95,300,394,23,45,159,48,90,214,23,45,159,48,90,214,23,45,159,Wynaut,https://img.pokemondb.net/artwork/wynaut.jpg,
360,361,Ice,Snow Hat,0.7,2.04,16.8,37.0,1. Inner Focus2. Ice BodyMoody (hidden ability),171 (Ruby/Sapphire/Emerald)206 (Platinum)179 (Omega Ruby/Alpha Sapphire)246 (Sun/Moon — Alola dex)323 (U.Sun/U.Moon — Alola dex)079 (Sword/Shield)205 (Legends: Arceus)025 (The Crown Tundra),1 HP,190,"24.8% with PokéBall, full HP",50,normal,60,Medium Fast,"Fairy, Mineral",50,50,20,"4,884–5,140 steps",50,210,304,50,94,218,50,94,218,50,94,218,50,94,218,50,94,218,Snorunt,https://img.pokemondb.net/artwork/snorunt.jpg,
361,362,Ice,Face,1.5,4.11,256.5,565.5,1. Inner Focus2. Ice BodyMoody (hidden ability),172 (Ruby/Sapphire/Emerald)207 (Platinum)180 (Omega Ruby/Alpha Sapphire)247 (Sun/Moon — Alola dex)324 (U.Sun/U.Moon — Alola dex)080 (Sword/Shield)206 (Legends: Arceus)026 (The Crown Tundra),2 HP,75,"9.8% with PokéBall, full HP",50,normal,168,Medium Fast,"Fairy, Mineral",50,50,20,"4,884–5,140 steps",80,270,364,80,148,284,80,148,284,80,148,284,80,148,284,80,148,284,Glalie,https://img.pokemondb.net/artwork/glalie.jpg,
362,363,Ice Water,Clap,0.8,2.07,39.5,87.1,1. Thick Fat2. Ice BodyOblivious (hidden ability),173 (Ruby/Sapphire/Emerald)243 (Black 2/White 2)182 (Omega Ruby/Alpha Sapphire)143 (Legends: Arceus)159 (The Crown Tundra),1 HP,255,"33.3% with PokéBall, full HP",50,normal,58,Medium Slow,"Field, Water 1",50,50,20,"4,884–5,140 steps",70,250,344,40,76,196,50,94,218,55,103,229,50,94,218,25,49,163,Spheal,https://img.pokemondb.net/artwork/spheal.jpg,
363,364,Ice Water,Ball Roll,1.1,3.07,87.6,193.1,1. Thick Fat2. Ice BodyOblivious (hidden ability),174 (Ruby/Sapphire/Emerald)244 (Black 2/White 2)183 (Omega Ruby/Alpha Sapphire)144 (Legends: Arceus)160 (The Crown Tundra),2 HP,120,"15.7% with PokéBall, full HP",50,normal,144,Medium Slow,"Field, Water 1",50,50,20,"4,884–5,140 steps",90,290,384,60,112,240,70,130,262,75,139,273,70,130,262,45,85,207,Sealeo,https://img.pokemondb.net/artwork/sealeo.jpg,
364,365,Ice Water,Ice Break,1.4,4.07,150.6,332.0,1. Thick Fat2. Ice BodyOblivious (hidden ability),175 (Ruby/Sapphire/Emerald)245 (Black 2/White 2)184 (Omega Ruby/Alpha Sapphire)145 (Legends: Arceus)161 (The Crown Tundra),3 HP,45,"5.9% with PokéBall, full HP",50,normal,239,Medium Slow,"Field, Water 1",50,50,20,"4,884–5,140 steps",110,330,424,80,148,284,90,166,306,95,175,317,90,166,306,65,121,251,Walrein,https://img.pokemondb.net/artwork/walrein.jpg,
365,366,Water,Bivalve,0.4,1.04,52.5,115.7,1. Shell ArmorRattled (hidden ability),176 (Ruby/Sapphire/Emerald)141 (X/Y — Coastal Kalos)185 (Omega Ruby/Alpha Sapphire)140 (U.Sun/U.Moon — Alola dex),1 Defense,255,"33.3% with PokéBall, full HP",50,normal,69,Erratic,Water 1,50,50,20,"4,884–5,140 steps",35,180,274,64,119,249,85,157,295,74,137,271,55,103,229,32,62,179,Clamperl,https://img.pokemondb.net/artwork/clamperl.jpg,
366,367,Water,Deep Sea,1.7,5.07,27.0,59.5,1. Swift SwimWater Veil (hidden ability),177 (Ruby/Sapphire/Emerald)142 (X/Y — Coastal Kalos)186 (Omega Ruby/Alpha Sapphire)141 (U.Sun/U.Moon — Alola dex),"1 Attack, 1 Defense",60,"7.8% with PokéBall, full HP",50,normal,170,Erratic,Water 1,50,50,20,"4,884–5,140 steps",55,220,314,104,191,337,105,193,339,94,173,315,75,139,273,52,98,223,Huntail,https://img.pokemondb.net/artwork/huntail.jpg,
367,368,Water,South Sea,1.8,5.11,22.6,49.8,1. Swift SwimHydration (hidden ability),178 (Ruby/Sapphire/Emerald)143 (X/Y — Coastal Kalos)187 (Omega Ruby/Alpha Sapphire)142 (U.Sun/U.Moon — Alola dex),2 Special Attack,60,"7.8% with PokéBall, full HP",50,normal,170,Erratic,Water 1,50,50,20,"4,884–5,140 steps",55,220,314,84,155,293,105,193,339,114,209,359,75,139,273,52,98,223,Gorebyss,https://img.pokemondb.net/artwork/gorebyss.jpg,
368,369,Water Rock,Longevity,1.0,3.03,23.4,51.6,1. Swift Swim2. Rock HeadSturdy (hidden ability),179 (Ruby/Sapphire/Emerald)042 (X/Y — Coastal Kalos)188 (Omega Ruby/Alpha Sapphire)262 (Sun/Moon — Alola dex)343 (U.Sun/U.Moon — Alola dex)187 (The Crown Tundra),"1 HP, 1 Defense",25,"3.3% with PokéBall, full HP",50,normal,170,Slow,"Water 1, Water 2",87.5,12.5,40,"10,024–10,280 steps",100,310,404,90,166,306,130,238,394,45,85,207,65,121,251,55,103,229,Relicanth,https://img.pokemondb.net/artwork/relicanth.jpg,
369,370,Water,Rendezvous,0.6,2.00,8.7,19.2,1. Swift SwimHydration (hidden ability),183 (Ruby/Sapphire/Emerald)029 (X/Y — Coastal Kalos)192 (Omega Ruby/Alpha Sapphire)111 (Sun/Moon — Alola dex)134 (U.Sun/U.Moon — Alola dex),1 Speed,225,"29.4% with PokéBall, full HP",50,normal,116,Fast,Water 2,25,75,20,"4,884–5,140 steps",43,196,290,30,58,174,55,103,229,40,76,196,65,121,251,97,179,322,Luvdisc,https://img.pokemondb.net/artwork/luvdisc.jpg,
370,371,Dragon,Rock Head,0.6,2.00,42.1,92.8,1. Rock HeadSheer Force (hidden ability),187 (Ruby/Sapphire/Emerald)014 (X/Y — Coastal Kalos)196 (Omega Ruby/Alpha Sapphire)117 (Sun/Moon — Alola dex)147 (U.Sun/U.Moon — Alola dex)113 (The Crown Tundra),1 Attack,45,"5.9% with PokéBall, full HP",35,lower than normal,60,Slow,Dragon,50,50,40,"10,024–10,280 steps",45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,Bagon,https://img.pokemondb.net/artwork/bagon.jpg,
371,372,Dragon,Endurance,1.1,3.07,110.5,243.6,1. Rock HeadOvercoat (hidden ability),188 (Ruby/Sapphire/Emerald)015 (X/Y — Coastal Kalos)197 (Omega Ruby/Alpha Sapphire)118 (Sun/Moon — Alola dex)148 (U.Sun/U.Moon — Alola dex)114 (The Crown Tundra),2 Defense,45,"5.9% with PokéBall, full HP",35,lower than normal,147,Slow,Dragon,50,50,40,"10,024–10,280 steps",65,240,334,95,175,317,100,184,328,60,112,240,50,94,218,50,94,218,Shelgon,https://img.pokemondb.net/artwork/shelgon.jpg,
372,373,Dragon Flying,Dragon,1.5,4.11,102.6,226.2,1. IntimidateMoxie (hidden ability),189 (Ruby/Sapphire/Emerald)016 (X/Y — Coastal Kalos)198 (Omega Ruby/Alpha Sapphire)119 (Sun/Moon — Alola dex)149 (U.Sun/U.Moon — Alola dex)115 (The Crown Tundra),3 Attack,45,"5.9% with PokéBall, full HP",35,lower than normal,270,Slow,Dragon,50,50,40,"10,024–10,280 steps",95,300,394,135,247,405,80,148,284,110,202,350,80,148,284,100,184,328,Salamence,https://img.pokemondb.net/artwork/salamence.jpg,
373,374,Steel Psychic,Iron Ball,0.6,2.00,95.2,209.9,1. Clear BodyLight Metal (hidden ability),190 (Ruby/Sapphire/Emerald)262 (Black 2/White 2)199 (Omega Ruby/Alpha Sapphire)214 (Sun/Moon — Alola dex)278 (U.Sun/U.Moon — Alola dex)129 (The Crown Tundra),1 Defense,3,"0.4% with PokéBall, full HP",35,lower than normal,60,Slow,Mineral,Genderless,,40,"10,024–10,280 steps",40,190,284,55,103,229,80,148,284,35,67,185,60,112,240,30,58,174,Beldum,https://img.pokemondb.net/artwork/beldum.jpg,
374,375,Steel Psychic,Iron Claw,1.2,3.11,202.5,446.4,1. Clear BodyLight Metal (hidden ability),191 (Ruby/Sapphire/Emerald)263 (Black 2/White 2)200 (Omega Ruby/Alpha Sapphire)215 (Sun/Moon — Alola dex)279 (U.Sun/U.Moon — Alola dex)130 (The Crown Tundra),2 Defense,3,"0.4% with PokéBall, full HP",35,lower than normal,147,Slow,Mineral,Genderless,,40,"10,024–10,280 steps",60,230,324,75,139,273,100,184,328,55,103,229,80,148,284,50,94,218,Metang,https://img.pokemondb.net/artwork/metang.jpg,
375,376,Steel Psychic,Iron Leg,1.6,5.03,550.0,1212.5,1. Clear BodyLight Metal (hidden ability),192 (Ruby/Sapphire/Emerald)264 (Black 2/White 2)201 (Omega Ruby/Alpha Sapphire)216 (Sun/Moon — Alola dex)280 (U.Sun/U.Moon — Alola dex)131 (The Crown Tundra),3 Defense,3,"0.4% with PokéBall, full HP",35,lower than normal,270,Slow,Mineral,Genderless,,40,"10,024–10,280 steps",80,270,364,135,247,405,130,238,394,95,175,317,90,166,306,70,130,262,Metagross,https://img.pokemondb.net/artwork/metagross.jpg,
376,377,Rock,Rock Peak,1.7,5.07,230.0,507.1,1. Clear BodySturdy (hidden ability),193 (Ruby/Sapphire/Emerald)202 (Omega Ruby/Alpha Sapphire)197 (The Crown Tundra),3 Defense,3,"0.4% with PokéBall, full HP",35,lower than normal,261,Slow,Undiscovered,Genderless,,80,"20,304–20,560 steps",80,270,364,100,184,328,200,364,548,50,94,218,100,184,328,50,94,218,Regirock,https://img.pokemondb.net/artwork/regirock.jpg,
377,378,Ice,Iceberg,1.8,5.11,175.0,385.8,1. Clear BodyIce Body (hidden ability),194 (Ruby/Sapphire/Emerald)203 (Omega Ruby/Alpha Sapphire)198 (The Crown Tundra),3 Special Defense,3,"0.4% with PokéBall, full HP",35,lower than normal,261,Slow,Undiscovered,Genderless,,80,"20,304–20,560 steps",80,270,364,50,94,218,100,184,328,100,184,328,200,364,548,50,94,218,Regice,https://img.pokemondb.net/artwork/regice.jpg,
378,379,Steel,Iron,1.9,6.03,205.0,451.9,1. Clear BodyLight Metal (hidden ability),195 (Ruby/Sapphire/Emerald)204 (Omega Ruby/Alpha Sapphire)199 (The Crown Tundra),"2 Defense, 1 Special Defense",3,"0.4% with PokéBall, full HP",35,lower than normal,261,Slow,Undiscovered,Genderless,,80,"20,304–20,560 steps",80,270,364,75,139,273,150,274,438,75,139,273,150,274,438,50,94,218,Registeel,https://img.pokemondb.net/artwork/registeel.jpg,
379,380,Dragon Psychic,Eon,1.4,4.07,40.0,88.2,1. Levitate,196 (Ruby/Sapphire/Emerald)205 (Omega Ruby/Alpha Sapphire),3 Special Defense,3,"0.4% with PokéBall, full HP",90,higher than normal,270,Slow,Undiscovered,0,100,120,"30,584–30,840 steps",80,270,364,80,148,284,90,166,306,110,202,350,130,238,394,110,202,350,Latias,https://img.pokemondb.net/artwork/latias.jpg,
380,381,Dragon Psychic,Eon,2.0,6.07,60.0,132.3,1. Levitate,197 (Ruby/Sapphire/Emerald)206 (Omega Ruby/Alpha Sapphire),3 Special Attack,3,"0.4% with PokéBall, full HP",90,higher than normal,270,Slow,Undiscovered,100,0,120,"30,584–30,840 steps",80,270,364,90,166,306,80,148,284,130,238,394,110,202,350,110,202,350,Latios,https://img.pokemondb.net/artwork/latios.jpg,
381,382,Water,Sea Basin,4.5,14.09,352.0,776.0,1. Drizzle,198 (Ruby/Sapphire/Emerald)207 (Omega Ruby/Alpha Sapphire),3 Special Attack,3,"0.4% with PokéBall, full HP",0,lower than normal,302,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",100,310,404,100,184,328,90,166,306,150,274,438,140,256,416,90,166,306,Kyogre,https://img.pokemondb.net/artwork/kyogre.jpg,
382,383,Ground,Continent,3.5,11.06,950.0,2094.4,1. Drought,199 (Ruby/Sapphire/Emerald)208 (Omega Ruby/Alpha Sapphire),3 Attack,3,"0.4% with PokéBall, full HP",0,lower than normal,302,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",100,310,404,150,274,438,140,256,416,100,184,328,90,166,306,90,166,306,Groudon,https://img.pokemondb.net/artwork/groudon.jpg,
383,384,Dragon Flying,Sky High,7.0,23.00,206.5,455.3,1. Air Lock,200 (Ruby/Sapphire/Emerald)209 (Omega Ruby/Alpha Sapphire),"2 Attack, 1 Special Attack",45,"5.9% with PokéBall, full HP",0,lower than normal,306,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",105,320,414,150,274,438,90,166,306,150,274,438,90,166,306,95,175,317,Rayquaza,https://img.pokemondb.net/artwork/rayquaza.jpg,
384,385,Steel Psychic,Wish,0.3,1.00,1.1,2.4,1. Serene Grace,201 (Ruby/Sapphire/Emerald)210 (Omega Ruby/Alpha Sapphire),3 HP,3,"0.4% with PokéBall, full HP",100,higher than normal,270,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,Jirachi,https://img.pokemondb.net/artwork/jirachi.jpg,
385,386,Psychic,DNA,1.7,5.07,60.8,134.0,1. Pressure,202 (Ruby/Sapphire/Emerald)211 (Omega Ruby/Alpha Sapphire),"1 Attack, 1 Special Attack, 1 Speed",3,"0.4% with PokéBall, full HP",0,lower than normal,270,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",50,210,304,150,274,438,50,94,218,150,274,438,50,94,218,150,274,438,Deoxys,https://img.pokemondb.net/artwork/deoxys-normal.jpg,
386,387,Grass,Tiny Leaf,0.4,1.04,10.2,22.5,1. OvergrowShell Armor (hidden ability),001 (Diamond/Pearl)001 (Platinum)001 (Brilliant Diamond/Shining Pearl)130 (Legends: Arceus),1 Attack,45,"5.9% with PokéBall, full HP",50,normal,64,Medium Slow,"Grass, Monster",87.5,12.5,20,"4,884–5,140 steps",55,220,314,68,126,258,64,119,249,45,85,207,55,103,229,31,60,177,Turtwig,https://img.pokemondb.net/artwork/turtwig.jpg,
387,388,Grass,Grove,1.1,3.07,97.0,213.8,1. OvergrowShell Armor (hidden ability),002 (Diamond/Pearl)002 (Platinum)002 (Brilliant Diamond/Shining Pearl)131 (Legends: Arceus),"1 Attack, 1 Defense",45,"5.9% with PokéBall, full HP",50,normal,142,Medium Slow,"Grass, Monster",87.5,12.5,20,"4,884–5,140 steps",75,260,354,89,164,304,85,157,295,55,103,229,65,121,251,36,69,188,Grotle,https://img.pokemondb.net/artwork/grotle.jpg,
388,389,Grass Ground,Continent,2.2,7.03,310.0,683.4,1. OvergrowShell Armor (hidden ability),003 (Diamond/Pearl)003 (Platinum)003 (Brilliant Diamond/Shining Pearl)132 (Legends: Arceus),"2 Attack, 1 Defense",45,"5.9% with PokéBall, full HP",50,normal,236,Medium Slow,"Grass, Monster",87.5,12.5,20,"4,884–5,140 steps",95,300,394,109,200,348,105,193,339,75,139,273,85,157,295,56,105,232,Torterra,https://img.pokemondb.net/artwork/torterra.jpg,
389,390,Fire,Chimp,0.5,1.08,6.2,13.7,1. BlazeIron Fist (hidden ability),004 (Diamond/Pearl)004 (Platinum)004 (Brilliant Diamond/Shining Pearl)061 (Legends: Arceus),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,62,Medium Slow,"Field, Human-Like",87.5,12.5,20,"4,884–5,140 steps",44,198,292,58,108,236,44,83,205,58,108,236,44,83,205,61,114,243,Chimchar,https://img.pokemondb.net/artwork/chimchar.jpg,
390,391,Fire Fighting,Playful,0.9,2.11,22.0,48.5,1. BlazeIron Fist (hidden ability),005 (Diamond/Pearl)005 (Platinum)005 (Brilliant Diamond/Shining Pearl)062 (Legends: Arceus),"1 Special Attack, 1 Speed",45,"5.9% with PokéBall, full HP",50,normal,142,Medium Slow,"Field, Human-Like",87.5,12.5,20,"4,884–5,140 steps",64,238,332,78,144,280,52,98,223,78,144,280,52,98,223,81,150,287,Monferno,https://img.pokemondb.net/artwork/monferno.jpg,
391,392,Fire Fighting,Flame,1.2,3.11,55.0,121.3,1. BlazeIron Fist (hidden ability),006 (Diamond/Pearl)006 (Platinum)006 (Brilliant Diamond/Shining Pearl)063 (Legends: Arceus),"1 Attack, 1 Special Attack, 1 Speed",45,"5.9% with PokéBall, full HP",50,normal,240,Medium Slow,"Field, Human-Like",87.5,12.5,20,"4,884–5,140 steps",76,262,356,104,191,337,71,132,265,104,191,337,71,132,265,108,198,346,Infernape,https://img.pokemondb.net/artwork/infernape.jpg,
392,393,Water,Penguin,0.4,1.04,5.2,11.5,1. TorrentDefiant (hidden ability),007 (Diamond/Pearl)007 (Platinum)007 (Brilliant Diamond/Shining Pearl)161 (Legends: Arceus),1 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,63,Medium Slow,"Field, Water 1",87.5,12.5,20,"4,884–5,140 steps",53,216,310,51,96,221,53,99,225,61,114,243,56,105,232,40,76,196,Piplup,https://img.pokemondb.net/artwork/piplup.jpg,
393,394,Water,Penguin,0.8,2.07,23.0,50.7,1. TorrentDefiant (hidden ability),008 (Diamond/Pearl)008 (Platinum)008 (Brilliant Diamond/Shining Pearl)162 (Legends: Arceus),2 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,142,Medium Slow,"Field, Water 1",87.5,12.5,20,"4,884–5,140 steps",64,238,332,66,123,254,68,126,258,81,150,287,76,141,276,50,94,218,Prinplup,https://img.pokemondb.net/artwork/prinplup.jpg,
394,395,Water Steel,Emperor,1.7,5.07,84.5,186.3,1. TorrentDefiant (hidden ability),009 (Diamond/Pearl)009 (Platinum)009 (Brilliant Diamond/Shining Pearl)163 (Legends: Arceus),3 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,239,Medium Slow,"Field, Water 1",87.5,12.5,20,"4,884–5,140 steps",84,278,372,86,159,298,88,162,302,111,204,353,101,186,331,60,112,240,Empoleon,https://img.pokemondb.net/artwork/empoleon.jpg,
395,396,Normal Flying,Starling,0.3,1.00,2.0,4.4,1. Keen EyeReckless (hidden ability),010 (Diamond/Pearl)010 (Platinum)099 (X/Y — Coastal Kalos)010 (Brilliant Diamond/Shining Pearl)012 (Legends: Arceus),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,49,Medium Slow,Flying,50,50,15,"3,599–3,855 steps",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,60,112,240,Starly,https://img.pokemondb.net/artwork/starly.jpg,
396,397,Normal Flying,Starling,0.6,2.00,15.5,34.2,1. IntimidateReckless (hidden ability),011 (Diamond/Pearl)011 (Platinum)100 (X/Y — Coastal Kalos)011 (Brilliant Diamond/Shining Pearl)013 (Legends: Arceus),2 Speed,120,"15.7% with PokéBall, full HP",50,normal,119,Medium Slow,Flying,50,50,15,"3,599–3,855 steps",55,220,314,75,139,273,50,94,218,40,76,196,40,76,196,80,148,284,Staravia,https://img.pokemondb.net/artwork/staravia.jpg,
397,398,Normal Flying,Predator,1.2,3.11,24.9,54.9,1. IntimidateReckless (hidden ability),012 (Diamond/Pearl)012 (Platinum)101 (X/Y — Coastal Kalos)012 (Brilliant Diamond/Shining Pearl)014 (Legends: Arceus),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,218,Medium Slow,Flying,50,50,15,"3,599–3,855 steps",85,280,374,120,220,372,70,130,262,50,94,218,60,112,240,100,184,328,Staraptor,https://img.pokemondb.net/artwork/staraptor.jpg,
398,399,Normal,Plump Mouse,0.5,1.08,20.0,44.1,1. Simple2. UnawareMoody (hidden ability),013 (Diamond/Pearl)013 (Platinum)038 (X/Y — Central Kalos)013 (Brilliant Diamond/Shining Pearl)010 (Legends: Arceus),1 HP,255,"33.3% with PokéBall, full HP",50,normal,50,Medium Fast,"Field, Water 1",50,50,15,"3,599–3,855 steps",59,228,322,45,85,207,40,76,196,35,67,185,40,76,196,31,60,177,Bidoof,https://img.pokemondb.net/artwork/bidoof.jpg,
399,400,Normal Water,Beaver,1.0,3.03,31.5,69.4,1. Simple2. UnawareMoody (hidden ability),014 (Diamond/Pearl)014 (Platinum)039 (X/Y — Central Kalos)014 (Brilliant Diamond/Shining Pearl)011 (Legends: Arceus),2 Attack,127,"16.6% with PokéBall, full HP",50,normal,144,Medium Fast,"Field, Water 1",50,50,15,"3,599–3,855 steps",79,268,362,85,157,295,60,112,240,55,103,229,60,112,240,71,132,265,Bibarel,https://img.pokemondb.net/artwork/bibarel.jpg,
400,401,Bug,Cricket,0.3,1.00,2.2,4.9,1. Shed SkinRun Away (hidden ability),015 (Diamond/Pearl)015 (Platinum)015 (Brilliant Diamond/Shining Pearl)039 (Legends: Arceus),1 Defense,255,"33.3% with PokéBall, full HP",50,normal,39,Medium Slow,Bug,50,50,15,"3,599–3,855 steps",37,184,278,25,49,163,41,78,199,25,49,163,41,78,199,25,49,163,Kricketot,https://img.pokemondb.net/artwork/kricketot.jpg,
401,402,Bug,Cricket,1.0,3.03,25.5,56.2,1. SwarmTechnician (hidden ability),016 (Diamond/Pearl)016 (Platinum)016 (Brilliant Diamond/Shining Pearl)040 (Legends: Arceus),2 Attack,45,"5.9% with PokéBall, full HP",50,normal,134,Medium Slow,Bug,50,50,15,"3,599–3,855 steps",77,264,358,85,157,295,51,96,221,55,103,229,51,96,221,65,121,251,Kricketune,https://img.pokemondb.net/artwork/kricketune.jpg,
402,403,Electric,Flash,0.5,1.08,9.5,20.9,1. Rivalry2. IntimidateGuts (hidden ability),017 (Diamond/Pearl)017 (Platinum)017 (Brilliant Diamond/Shining Pearl)015 (Legends: Arceus)025 (The Isle of Armor),1 Attack,235,"30.7% with PokéBall, full HP",50,normal,53,Medium Slow,Field,50,50,20,"4,884–5,140 steps",45,200,294,65,121,251,34,65,183,40,76,196,34,65,183,45,85,207,Shinx,https://img.pokemondb.net/artwork/shinx.jpg,
403,404,Electric,Spark,0.9,2.11,30.5,67.2,1. Rivalry2. IntimidateGuts (hidden ability),018 (Diamond/Pearl)018 (Platinum)018 (Brilliant Diamond/Shining Pearl)016 (Legends: Arceus)026 (The Isle of Armor),2 Attack,120,"15.7% with PokéBall, full HP",100,higher than normal,127,Medium Slow,Field,50,50,20,"4,884–5,140 steps",60,230,324,85,157,295,49,92,216,60,112,240,49,92,216,60,112,240,Luxio,https://img.pokemondb.net/artwork/luxio.jpg,
404,405,Electric,Gleam Eyes,1.4,4.07,42.0,92.6,1. Rivalry2. IntimidateGuts (hidden ability),019 (Diamond/Pearl)019 (Platinum)019 (Brilliant Diamond/Shining Pearl)017 (Legends: Arceus)027 (The Isle of Armor),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,235,Medium Slow,Field,50,50,20,"4,884–5,140 steps",80,270,364,120,220,372,79,146,282,95,175,317,79,146,282,70,130,262,Luxray,https://img.pokemondb.net/artwork/luxray.jpg,
